@relation higgs

@attribute mll numeric
@attribute mjj numeric
@attribute met-phi_centrality numeric
@attribute mt numeric
@attribute DYjj numeric
@attribute sumMlj numeric
@attribute dphill numeric
@attribute contOLV numeric
@attribute ptTotal numeric
@attribute label {-1, 1}

@data
0.06716,0.22766,0.42615,0.33486,0.49029,0.23561,0.11182,0.47604,0.2448,-1
0.20459,0.2395,0.62772,0.29547,0.20776,0.25372,0.19078,0.3587,0.11195,-1
0.43254,1.47399,0.05017,0.39542,0.62082,0.54268,0.70597,0.25315,0.2615,-1
0.22298,0.08447,0.14558,0.24386,0.24592,0.14254,0.28218,0.45601,0.38207,-1
0.06562,0.18977,0.10666,0.18952,0.24682,0.17021,0.13727,0.70322,0.12374,-1
0.08168,0.22999,0.89539,0.05917,0.133,0.17446,0.11874,0.43041,0.2126,-1
0.27637,0.18922,0.22696,0.45804,0.41958,0.17514,0.46493,0.05961,0.09237,-1
0.20239,0.23677,0.80846,0.18027,0.22186,0.15371,0.6232,0.37858,0.5174,-1
0.42865,0.11455,0.19666,0.40811,0.27731,0.23426,0.37127,0.26657,0.03389,-1
0.25921,0.14497,0.09687,0.52145,0.38269,0.20571,0.42213,0.80758,0.43985,-1
0.09722,0.30874,0.53357,0.18903,0.4113,0.24055,0.04552,0.16032,0.03967,-1
0.09633,0.02553,0.47663,0.18503,0.07853,0.12931,0.03079,0.84891,0.47682,-1
1.42939,0.05159,0.04985,0.85642,0.16497,0.20409,0.94476,0.81218,0.21442,-1
0.86995,0.06346,0.05018,0.54881,0.10898,0.13545,0.92368,0.5779,0.3561,-1
0.9795,0.14015,0.41642,0.6545,0.18014,0.29254,0.67987,0.78258,0.27327,-1
0.39924,0.12412,0.06773,0.45498,0.33207,0.19858,0.39247,0.43532,0.20038,-1
0.60766,0.31622,0.36552,0.46696,0.3966,0.2538,0.24272,0.82118,0.17273,-1
0.37005,0.11078,0.10119,0.33604,0.29107,0.13446,0.69612,0.63978,0.33281,-1
0.32133,0.03742,0.94404,0.1971,0.09544,0.0762,0.96653,0.85012,0.49426,-1
0.17209,0.06674,0.47072,0.28516,0.23584,0.16219,0.06275,0.29953,0.14076,-1
0.10001,0.14423,0.16302,0.46338,0.41032,0.12647,0.13631,0.28103,0.38295,-1
0.25823,0.11832,0.08617,0.17572,0.26906,0.11199,0.92957,0.60197,0.25892,-1
0.30124,0.0736,0.43337,0.16561,0.25337,0.14162,0.46642,0.41316,0.20994,-1
0.29514,0.05827,0.90897,0.16186,0.20725,0.0887,0.90906,0.40729,0.0445,-1
0.71539,0.58885,0.3561,0.53111,0.59764,0.46816,0.44457,0.49544,0.13554,-1
0.13523,0.08175,0.45782,0.30609,0.2575,0.14666,0.08038,0.27847,0.26022,-1
0.35878,0.14974,0.18657,0.57121,0.28818,0.17438,0.43474,0.49721,0.07027,-1
0.46016,0.20907,0.40598,0.39878,0.43007,0.19611,0.12619,0.63441,0.17211,-1
0.98139,0.07403,0.04997,0.51652,0.28346,0.15787,0.96093,0.79243,0.04884,-1
0.24512,0.23843,0.83958,0.19435,0.31665,0.18644,0.54788,0.41789,0.24373,-1
0.43871,0.12765,0.22956,0.30598,0.17109,0.1531,0.91133,0.14159,1.02127,-1
0.30394,0.14779,0.37542,0.48645,0.1181,0.2065,0.32292,0.23278,0.16514,-1
0.16421,0.14356,0.13234,0.31098,0.26128,0.12906,0.36592,0.15772,0.03516,-1
0.15004,0.04095,0.58044,0.20077,0.15007,0.10498,0.26415,0.19701,0.45167,-1
1.42438,0.31212,0.86097,0.74455,0.46322,0.35694,0.89933,0.84289,0.52341,-1
0.2578,0.08691,0.05056,0.18875,0.21486,0.09688,0.87363,0.28985,0.28241,-1
0.30609,0.17878,0.05068,0.29233,0.38059,0.15544,0.95264,0.29849,0.15165,-1
0.25049,0.2086,0.51367,0.36806,0.17322,0.17935,0.52899,0.32684,0.32236,-1
0.79533,0.16108,0.05053,0.51775,0.43759,0.2482,0.92471,0.39726,0.1068,-1
0.58983,0.14253,0.07541,0.38529,0.25233,0.19296,0.82912,0.27698,0.10143,-1
0.16966,0.05636,0.42147,0.33712,0.20743,0.10217,0.21672,0.48953,0.26034,-1
0.30512,0.10119,0.0507,0.30935,0.31273,0.11914,0.86043,0.25829,0.69497,-1
0.66397,0.11891,0.05839,0.52363,0.26559,0.2633,0.91412,0.8624,0.20308,-1
0.35723,0.34847,0.38088,0.31807,0.47297,0.3319,0.20398,0.56517,0.42463,-1
0.50962,0.1288,0.31496,0.29858,0.34239,0.19549,0.14691,0.72795,0.22411,-1
